año,mes,ccaa,comunidad,siglas,nombre,votos,diputados
2015,12,1,Andalucía,DN,DEMOCRACIA NACIONAL,356,0
2015,12,2,Aragón,VOX,VOX,1849,0
2015,12,8,Castilla y León,CRA,CIUDADANOS RURALES AGRUPADOS,1032,0
2015,12,12,Madrid,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,645645,6
2015,12,12,Madrid,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,43508,0
2015,12,13,Navarra,SAIn,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,913,0
2015,12,15,Murcia,+MAS+,MUERTE AL SISTEMA,313,0
2015,12,19,Melilla,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",366,0
2015,12,1,Andalucía,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,613447,8
2015,12,4,Baleares,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,2276,0
2015,12,6,Cantabria,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,461,0
2015,12,7,Castilla-La Mancha,SAIn,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,75,0
2015,12,8,Castilla y León,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,339277,9
2015,12,9,Cataluña,EN COMÚ,"""EN COMÚ PODEM""",929880,12
2015,12,14,País Vasco,Ln,"LIBERTAD NAVARRA, LIBERTATE NAFARRA",450,0
2015,12,15,Murcia,PODEMOS,PODEMOS,110601,1
2015,12,16,La Rioja,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,41973,1
2015,12,18,Ceuta,PODEMOS,PODEMOS,4646,0
2015,12,1,Andalucía,EB,ESCAÑOS EN BLANCO,631,0
2015,12,1,Andalucía,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,23179,0
2015,12,2,Aragón,PODEMOS,PODEMOS,136434,2
2015,12,4,Baleares,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",11451,0
2015,12,6,Cantabria,PODEMOS,PODEMOS,62569,1
2015,12,8,Castilla y León,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",68816,0
2015,12,9,Cataluña,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,490872,5
2015,12,12,Madrid,PODEMOS,PODEMOS,756257,8
2015,12,12,Madrid,X LA IZQUIE,X LA IZQUIERDA-LOS VERDES,4994,0
2015,12,13,Navarra,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,54856,1
2015,12,14,País Vasco,PODEMOS,PODEMOS,317674,5
2015,12,15,Murcia,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,128570,2
2015,12,17,Comunidad Valenciana,PODEMOS-COM,COMPROMÍS-PODEMOS-ÉS EL MOMENT,673549,9
2015,12,17,Comunidad Valenciana,AVANT,AVANT VALENCIANS,1003,0
2015,12,19,Melilla,PODEMOS,PODEMOS,3215,0
2015,12,1,Andalucía,CILUS,CIUDADANOS LIBRES UNIDOS,1189,0
2015,12,1,Andalucía,P-LIB,PARTIDO LIBERTARIO,1364,0
2015,12,3,Asturias,EB,ESCAÑOS EN BLANCO,1869,0
2015,12,3,Asturias,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,145113,2
2015,12,5,Canarias,PH,PARTIDO HUMANISTA,439,0
2015,12,7,Castilla-La Mancha,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,654,0
2015,12,8,Castilla y León,FE de las J,FALANGE ESPAÑOLA DE LAS J.O.N.S.,1090,0
2015,12,11,Galicia,PODEMOS-En,EN MAREA,410698,6
2015,12,12,Madrid,VOX,VOX,22643,0
2015,12,13,Navarra,RECORTES CE,RECORTES CERO-GRUPO VERDE,956,0
2015,12,14,País Vasco,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,589,0
2015,12,17,Comunidad Valenciana,SOMVAL,SOM VALENCIANS,6103,0
2015,12,19,Melilla,RECORTES CE,RECORTES CERO-GRUPO VERDE,46,0
2015,12,1,Andalucía,SOLUCIONA,SOLUCIONA,409,0
2015,12,2,Aragón,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,5803,0
2015,12,6,Cantabria,PP,PARTIDO POPULAR,129216,2
2015,12,6,Cantabria,SAIn,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,173,0
2015,12,7,Castilla-La Mancha,PLD,PARTIDO LIBERAL DE DERECHAS,205,0
2015,12,8,Castilla y León,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,231979,3
2015,12,11,Galicia,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,8456,0
2015,12,14,País Vasco,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,8003,0
2015,12,14,País Vasco,PP,PARTIDO POPULAR,142127,2
2015,12,15,Murcia,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,5442,0
2015,12,17,Comunidad Valenciana,P-LIB,PARTIDO LIBERTARIO,415,0
2015,12,18,Ceuta,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,4392,0
2015,12,1,Andalucía,PP,PARTIDO POPULAR,1294293,21
2015,12,2,Aragón,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,169057,4
2015,12,3,Asturias,VOX,VOX,1715,0
2015,12,4,Baleares,PFyV,FAMILIA Y VIDA,714,0
2015,12,5,Canarias,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,113642,2
2015,12,5,Canarias,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,11888,0
2015,12,6,Cantabria,VOX,VOX,901,0
2015,12,8,Castilla y León,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,2232,0
2015,12,9,Cataluña,PP,PARTIDO POPULAR,418369,5
2015,12,11,Galicia,VOX,VOX,1246,0
2015,12,18,Ceuta,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,358,0
2015,12,18,Ceuta,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",431,0
2015,12,1,Andalucía,SAIn,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,198,0
2015,12,3,Asturias,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,84464,1
2015,12,5,Canarias,PP,PARTIDO POPULAR,283575,5
2015,12,5,Canarias,PODEMOS,PODEMOS,231519,3
2015,12,6,Cantabria,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,53371,1
2015,12,6,Cantabria,PH,PARTIDO HUMANISTA,236,0
2015,12,7,Castilla-La Mancha,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,6162,0
2015,12,9,Cataluña,PCPC,PARTIT COMUNISTA DEL POBLE DE CATALUNYA,7116,0
2015,12,11,Galicia,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,13523,0
2015,12,17,Comunidad Valenciana,IFem,INICIATIVA FEMINISTA,1263,0
2015,12,17,Comunidad Valenciana,PP,PARTIDO POPULAR,838135,11
2015,12,17,Comunidad Valenciana,ARAPV,"ARA, PAÍS VALENCIÀ",2503,0
2015,12,19,Melilla,PP,PARTIDO POPULAR,12331,1
2015,12,1,Andalucía,PUM+J,POR UN MUNDO MÁS JUSTO,621,0
2015,12,7,Castilla-La Mancha,PODEMOS,PODEMOS,159726,1
2015,12,8,Castilla y León,IFem,INICIATIVA FEMINISTA,341,0
2015,12,9,Cataluña,ERC-CATSI,ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ,601782,9
2015,12,10,Extremadura,PODEMOS,PODEMOS,82098,1
2015,12,12,Madrid,PUM+J,POR UN MUNDO MÁS JUSTO,2870,0
2015,12,14,País Vasco,PUM+J,POR UN MUNDO MÁS JUSTO,479,0
2015,12,15,Murcia,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,147883,2
2015,12,16,La Rioja,PP,PARTIDO POPULAR,67941,2
2015,12,18,Ceuta,PP,PARTIDO POPULAR,14813,1
2015,12,18,Ceuta,RECORTES CE,RECORTES CERO-GRUPO VERDE,146,0
2015,12,4,Baleares,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,88635,2
2015,12,5,Canarias,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",30978,0
2015,12,9,Cataluña,PSC,PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE),590274,8
2015,12,11,Galicia,PT,PARTIDO DA TERRA,3026,0
2015,12,11,Galicia,SAIn,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,429,0
2015,12,13,Navarra,GBAI,GEROA BAI,30642,0
2015,12,14,País Vasco,RECORTES CE,RECORTES CERO-GRUPO VERDE,2432,0
2015,12,19,Melilla,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,6905,0
2015,12,1,Andalucía,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,1402393,22
2015,12,1,Andalucía,PODEMOS,PODEMOS,752367,10
2015,12,2,Aragón,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",45199,0
2015,12,2,Aragón,Independien,INDEPENDIENTES POR ARAGÓN,676,0
2015,12,3,Asturias,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,1240,0
2015,12,3,Asturias,RECORTES CE,RECORTES CERO-GRUPO VERDE,1038,0
2015,12,4,Baleares,RECORTES CE,RECORTES CERO-GRUPO VERDE,1177,0
2015,12,6,Cantabria,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,78460,1
2015,12,9,Cataluña,unio.cat,UNIÓ DEMOCRÀTICA DE CATALUNYA,65388,0
2015,12,11,Galicia,PCPE,COMUNISTAS DA GALIZA,3245,0
2015,12,12,Madrid,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,28322,0
2015,12,12,Madrid,SAIn,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,1137,0
2015,12,12,Madrid,RECORTES CE,RECORTES CERO-GRUPO VERDE,4037,0
2015,12,16,La Rioja,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,229,0
2015,12,2,Aragón,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,126346,1
2015,12,2,Aragón,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,5224,0
2015,12,14,País Vasco,PSE-EE (PSO,PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (P,161988,3
2015,12,16,La Rioja,EB,ESCAÑOS EN BLANCO,362,0
2015,12,17,Comunidad Valenciana,FDEE,FORO DEMÓCRATA,456,0
2015,12,17,Comunidad Valenciana,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",111963,0
2015,12,7,Castilla-La Mancha,RECORTES CE,RECORTES CERO-GRUPO VERDE,1751,0
2015,12,8,Castilla y León,VOX,VOX,4053,0
2015,12,10,Extremadura,RECORTES CE,RECORTES CERO-GRUPO VERDE,846,0
2015,12,11,Galicia,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,148852,1
2015,12,13,Navarra,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,1452,0
2015,12,15,Murcia,EB,ESCAÑOS EN BLANCO,1063,0
2015,12,15,Murcia,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,6591,0
2015,12,18,Ceuta,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,7627,0
2015,12,2,Aragón,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,1199,0
2015,12,3,Asturias,PODEMOS,PODEMOS,132984,2
2015,12,5,Canarias,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,4681,0
2015,12,5,Canarias,PSOE-NCa,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIAS,218413,4
2015,12,6,Cantabria,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,2875,0
2015,12,7,Castilla-La Mancha,VOX,VOX,3608,0
2015,12,10,Extremadura,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,2620,0
2015,12,12,Madrid,FE de las J,FALANGE ESPAÑOLA DE LAS J.O.N.S.,4579,0
2015,12,12,Madrid,PH,PARTIDO HUMANISTA,1779,0
2015,12,12,Madrid,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",190193,2
2015,12,14,País Vasco,EH Bildu,EUSKAL HERRIA BILDU,184186,2
