tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/brunei-castigara-pena-muerte-lapidacion-sexo-gay-adulterio,3104627,26692205,96,95.0,blade72,2019-03-29T22:39:56+00:00,0,7,"#95 Sí, eso pensaba"
lgtbi,https://www.meneame.net/story/brunei-castigara-pena-muerte-lapidacion-sexo-gay-adulterio,3104627,26691997,95,94.0,--587910--,2019-03-29T21:55:31+00:00,0,7,"#94 Hay más de ateos, son esos más Maldivas y Malasia."
lgtbi,https://www.meneame.net/story/brunei-castigara-pena-muerte-lapidacion-sexo-gay-adulterio,3104627,26691858,94,14.0,blade72,2019-03-29T21:26:38+00:00,0,7,#14 Lo que no sé si hay más de ateos que de homosexuales
lgtbi,https://www.meneame.net/story/brunei-castigara-pena-muerte-lapidacion-sexo-gay-adulterio,3104627,26686960,93,91.0,Segope,2019-03-29T09:09:56+00:00,0,14,"#91 Pues fijate los argumentos de los que justifican un ataque armado, asesinato o incluso una guerra civil en Venezuela, pero callan en Brunei, Emiratos ärabes, Arabia Saudita, etc. Donde yo tampoco justificaria lo anterior."
lgtbi,https://www.meneame.net/story/brunei-castigara-pena-muerte-lapidacion-sexo-gay-adulterio,3104627,26686940,92,79.0,fugaz,2019-03-29T09:07:23+00:00,0,6,"#79 Tienes un fallo en tus cimientos bestial que provoca un despiporre de conclusiones erróneas.

- No, no se puede elegir en algún momento la tiranía y decir que es una elección legítima. Es ilegítima. Hay algunas decisiones que no se pueden tomar, como poner una tiranía, permitir la esclavitud, ya profundizando más estaría ""la esfera de lo indecidible"" en democracia, etc.
- No, Brunei tampoco ha elegido la tiranía, simplemente lleva siglos bajo ella. Una vez bajo ella es muy difícil levantar la cabeza. Simplemente intentas que no te la corten, porque el poder se la corta a cualquiera que vea como amenaza.
- Millones de personas en Brunei sufren los efectos de la tiranía. Por miedo se esconden y esperan no ser pillados. Es un sistema de terror.

No se si lo ves. No son ratas. Son personas iguales a nosotros con el mismo derecho moral."
lgtbi,https://www.meneame.net/story/brunei-castigara-pena-muerte-lapidacion-sexo-gay-adulterio,3104627,26686887,91,90.0,--561105--,2019-03-29T09:01:22+00:00,0,13,#90 qué manera de argumentar...
lgtbi,https://www.meneame.net/story/brunei-castigara-pena-muerte-lapidacion-sexo-gay-adulterio,3104627,26686840,90,5.0,Segope,2019-03-29T08:54:01+00:00,0,14,"#5 Pues se lo compramos a Venezuela...ah no, que ahí hay elecciones y no ganan los míos."
lgtbi,https://www.meneame.net/story/brunei-castigara-pena-muerte-lapidacion-sexo-gay-adulterio,3104627,26686224,89,42.0,--350295--,2019-03-29T07:33:21+00:00,0,6,"#42 Para nosotros la tendencia debe ser la de adoptar la democracia y los derechos humanos y para ellos es la de adoptar la sharia y el Islam. Es que a veces hablais de la carta de los DDHH como si fuera una ley sagrada y universal, cuando no es más que una serie de enunciados redactados por países occidentales con los que una considerable cantidad de países no está de acuerdo ni le interesa. Para muchos países los DDHH es lo que dicte la Sharia, y están tan convencidos de que eso es lo correcto como nosotros de que los es la carta de DDHH."
lgtbi,https://www.meneame.net/story/brunei-castigara-pena-muerte-lapidacion-sexo-gay-adulterio,3104627,26685708,88,54.0,crissis,2019-03-29T03:14:58+00:00,1,19,#54 que racista es la realidad... habrá que censurarla.
lgtbi,https://www.meneame.net/story/brunei-castigara-pena-muerte-lapidacion-sexo-gay-adulterio,3104627,26685616,87,23.0,Vega_99,2019-03-29T01:33:09+00:00,0,6,"#23 Es fácil para el tío que controla Brunéi , recibe pasta a raudales del petróleo , así que allí tienen como una renta universal para todo Dios . Un ciudadano de Brunéi me ha contado que allí si no quieres trabajar , no lo necesitas en toda tu vida .

Con la barriga llena , nadie se queja de vivir en una Dictadura ; Brunéi , Singapur , etc.

P.D.: el tío de Brunéi está de camarero en Hong Kong ahora , dice que allí te mueres del aburrimiento : no se puede fumar , beber , nada de fiesta , y absolutamente nada que hacer."
lgtbi,https://www.meneame.net/story/brunei-castigara-pena-muerte-lapidacion-sexo-gay-adulterio,3104627,26685489,86,,SubeElPan,2019-03-29T00:08:43+00:00,0,9,Religión=mierda.
lgtbi,https://www.meneame.net/story/brunei-castigara-pena-muerte-lapidacion-sexo-gay-adulterio,3104627,26685279,85,8.0,angeloso,2019-03-28T23:13:28+00:00,0,10,"#8 Jonny es un bastardo. 
https://youtu.be/CpU8qMZbP4s"
lgtbi,https://www.meneame.net/story/brunei-castigara-pena-muerte-lapidacion-sexo-gay-adulterio,3104627,26685034,84,1.0,--348464--,2019-03-28T22:29:59+00:00,1,10,"#1 ¿en qué se diferencian de Daesh y de los talibanes? En que todavía nadie ha matado a uno de los mios en su propio país diciendo representar a Brunei.

A mi en su país que hagan lo que les de la gana, con no acercarme voy sobrado."
lgtbi,https://www.meneame.net/story/brunei-castigara-pena-muerte-lapidacion-sexo-gay-adulterio,3104627,26684835,83,68.0,--564663--,2019-03-28T22:00:44+00:00,1,14,#68 Qué pena que a todos esos países no les espere el mismo final que a Maldivas en muy pocas décadas.
lgtbi,https://www.meneame.net/story/brunei-castigara-pena-muerte-lapidacion-sexo-gay-adulterio,3104627,26684826,82,81.0,CerdoJusticiero,2019-03-28T21:58:52+00:00,0,7,#81 Pobrecillo.
lgtbi,https://www.meneame.net/story/brunei-castigara-pena-muerte-lapidacion-sexo-gay-adulterio,3104627,26684816,81,78.0,Siento55,2019-03-28T21:57:15+00:00,0,9,"#78 Ya te dije antes, que seguro que la maravillosa socidad de Brunei protege a los homosexuales para que el sultán malo no los mate, igual que pasa en el resto de países donde hay mayoría musulmana y los homosexuales viven en perfecta armonía y no son perseguidos, como tú mismo me has demostra... {lol}

Venga repite otra vez que hay musulmanes buenos, que sólo lo has dicho unas 20 veces y yo ya te he dicho otras 20 veces que ya lo sé."
